,WindPower
1462,742.664
1464,673.87
1465,624.646
1466,527.43
1467,533.98
1468,559.491
1470,568.717
1471,563.049
1472,577.783
1473,493.337
1474,438.731
1475,444.32199999999995
1477,501.94699999999995
1478,563.195
1479,617.746
1480,643.994
1481,663.816
1482,688.535
1483,723.189
1484,757.8910000000001
1485,788.513
1486,813.466
1487,805.92
1488,759.163
1489,694.337
1490,591.84
1491,528.116
1492,483.17400000000004
1493,510.644
1494,458.065
1495,454.842
1496,450.28
1497,522.74
1498,595.44
1500,529.462
1501,501.905
1502,475.635
1503,477.444
1504,465.795
1505,391.536
1507,335.736
1508,264.966
1510,172.678
1511,195.43400000000003
1512,235.227
1513,255.426
1514,265.565
1515,289.698
1516,321.22900000000004
1517,358.985
1518,383.355
1519,326.447
1520,313.431
1521,288.63599999999997
1522,228.00400000000002
1524,61.475
1525,29.733
1526,26.605
1529,391.819
1530,461.408
1531,490.55800000000005
1532,411.668
1533,252.701
1534,211.24200000000002
1535,216.521
1536,185.548
1537,149.965
1538,95.04700000000001
1539,45.746
1540,18.081
1541,26.949
1542,63.306999999999995
1543,106.509
1544,66.904
1545,55.16
1546,78.38
1547,97.92299999999999
1548,125.273
1549,164.03099999999998
1551,223.05
1552,333.108
1553,379.12
1554,373.52
1555,369.023
1556,331.711
1557,350.18199999999996
1558,374.861
1559,366.98199999999997
1560,339.423
1561,324.182
1562,310.971
1563,307.639
1565,275.066
1566,268.281
1567,216.255
1568,223.91299999999998
1569,298.77
1570,354.23800000000006
1571,390.70300000000003
1572,387.235
1573,308.653
1574,309.194
1575,398.522
1576,441.897
1577,439.781
1579,450.468
1580,463.80199999999996
1581,491.45300000000003
1583,526.331
1584,541.191
1585,557.2330000000001
1586,582.68
1587,619.196
1588,642.934
1589,665.336
1590,669.615
1591,652.4119999999999
1592,623.894
1593,715.88
1594,710.0
1596,724.3839999999999
1597,705.8789999999999
1598,698.992
1599,704.7589999999999
1600,710.063
1602,589.9780000000001
1603,518.0930000000001
1604,450.397
1605,427.13
1607,387.4
1608,383.412
1609,402.05800000000005
1610,446.475
1611,526.052
1612,665.087
1613,703.7639999999999
1614,655.4739999999999
1615,432.506
1616,141.45
1617,68.158
1618,52.81100000000001
1619,45.192
1620,39.744
1621,45.254
1622,66.012
1624,203.17
1625,309.027
1626,371.43699999999995
1628,344.23699999999997
1629,315.598
1630,243.49099999999999
1632,128.649
1633,84.5
1634,59.925
1635,42.928999999999995
1636,27.522
1637,22.355999999999998
1638,21.846
1639,24.16
1640,12.28
1641,21.635
1643,90.98899999999999
1644,110.36399999999999
1645,133.72899999999998
1646,172.44799999999998
1647,278.415
1648,392.09
1649,415.023
1650,360.466
1651,319.914
1652,303.322
1653,224.825
1654,209.005
1655,187.96200000000002
1656,164.18900000000002
1657,144.66
1658,115.475
1659,90.08200000000001
1660,71.586
1661,56.258
1662,46.151
1663,37.077
1664,15.880999999999998
1665,27.409000000000002
1666,54.542
1667,58.019
1668,48.294
1669,33.12
1670,16.796
1672,5.723
1673,4.9319999999999995
1674,5.574
1675,9.214
1677,24.759
1678,31.188000000000002
1679,31.526
1680,38.102
1681,53.896
1683,95.52600000000001
1684,72.9
1685,57.726000000000006
1686,59.86600000000001
1687,31.793000000000003
1688,10.7
1689,32.525
1690,85.516
1692,174.956
1693,183.063
1694,180.458
1695,203.967
1697,288.052
1698,334.663
1699,334.52
1700,304.688
1701,265.922
1702,202.80599999999998
1703,135.814
1704,73.833
1705,30.653000000000002
1706,15.827
1707,7.482
1708,20.506999999999998
1709,31.212
1710,34.031
1711,24.732
1712,16.822
1713,27.554000000000002
1714,69.165
1715,132.366
1716,213.049
1717,280.9
1718,288.06
1719,318.187
1720,385.936
1721,380.26800000000003
1722,328.725
1723,320.216
1724,283.528
1725,260.228
1726,268.03700000000003
1727,278.449
1728,260.348
1729,195.825
1730,156.316
1731,137.74
1732,116.044
1733,99.471
1736,20.432000000000002
1737,10.512
1738,13.472999999999999
1739,15.880999999999998
1740,14.844000000000001
1741,17.695
1742,21.593000000000004
1743,29.811
1744,51.123000000000005
1745,82.654
1746,117.609
1747,152.145
1749,297.825
1750,401.708
1751,501.91
1752,584.7
1753,632.981
1754,669.818
1755,710.075
1756,765.2439999999999
1757,812.857
1758,824.549
1759,648.182
1760,425.977
1761,402.88599999999997
1762,398.42400000000004
1763,287.947
1765,273.947
1766,357.788
1767,597.01
1768,807.697
1769,907.808
1770,906.5
1771,895.6410000000001
1772,921.133
1773,1018.1030000000001
1774,1114.0430000000001
1775,1104.8319999999999
1776,1026.119
1777,968.448
1780,888.1519999999999
1781,875.5269999999999
1782,738.1210000000001
1784,260.865
1785,258.579
1786,330.315
1787,394.064
1788,411.214
1789,382.509
1790,352.82099999999997
1791,498.333
1792,741.128
1793,865.1610000000001
1795,733.812
1796,616.828
1797,548.839
1798,527.501
1799,510.223
1800,495.86300000000006
1801,478.721
1802,474.189
1803,440.95099999999996
1804,416.44599999999997
1805,428.07599999999996
1806,343.561
1807,168.12400000000002
1808,82.78
1809,66.52
1810,42.285
1811,34.683
1812,36.264
1813,44.847
1814,60.726000000000006
1815,89.495
1816,135.871
1817,175.49900000000002
1818,193.645
1819,193.459
1820,183.47400000000002
1821,182.075
1822,197.889
1823,228.68400000000003
1825,405.82599999999996
1826,522.762
1827,554.163
1828,525.0880000000001
1829,459.619
1830,367.93
1831,185.65400000000002
1832,73.23899999999999
1833,57.425
1834,91.367
1835,162.181
1836,228.00599999999997
1837,263.481
1838,238.426
1839,298.67
1840,605.909
1841,896.8610000000001
1842,1010.3539999999999
1843,1037.0510000000002
1844,1075.147
1845,1066.738
1846,1009.132
1847,897.612
1848,830.676
1849,793.355
1850,739.4830000000001
1851,719.3889999999999
1852,704.7869999999999
1853,696.6
1854,554.604
1856,317.988
1857,306.611
1858,437.05
1859,487.94699999999995
1860,455.478
1861,382.912
1862,288.112
1864,334.406
1865,413.712
1866,434.931
1867,355.767
1868,247.657
1869,203.571
1870,207.063
1871,265.73400000000004
1872,392.796
1873,566.544
1874,631.16
1875,536.563
1876,471.70099999999996
1877,434.654
1878,273.592
1879,205.9
1880,350.00300000000004
1881,425.455
1882,463.969
1883,490.50800000000004
1884,476.925
1885,444.205
1886,397.70599999999996
1887,450.778
1888,625.131
1890,942.742
1892,1078.019
1894,863.763
1895,771.316
1896,733.79
1897,728.498
1898,705.689
1899,701.9939999999999
1900,677.1039999999999
1901,606.678
1902,395.55300000000005
1903,253.067
1905,408.514
1906,439.851
1907,389.05699999999996
1908,415.731
1909,463.85400000000004
1910,446.124
1911,556.026
1912,788.8989999999999
1913,927.0939999999999
1915,976.686
1916,982.182
1917,987.685
1918,843.268
1919,795.535
1920,864.908
1921,859.663
1922,833.081
1923,761.9639999999999
1924,756.433
1925,681.273
1926,326.02299999999997
1927,115.648
1928,115.529
1929,107.564
1930,106.602
1931,124.055
1932,129.904
1933,126.17
1934,102.485
1935,62.038000000000004
1936,40.539
1937,38.463
1938,49.882
1939,74.045
1940,110.47399999999999
1941,168.17700000000002
1942,226.325
1943,248.99400000000003
1944,240.53400000000002
1945,214.53099999999998
1946,188.09599999999998
1947,144.225
1948,111.081
1951,37.023
1952,51.232
1953,63.263000000000005
1954,75.021
1956,108.12100000000001
1957,143.394
1958,146.447
1959,169.707
1960,265.97
1962,556.0
1963,736.664
1964,810.17
1965,723.2389999999999
1966,810.72
1967,747.182
1968,762.75
1970,733.857
1971,723.278
1972,656.3969999999999
1973,555.504
1974,353.629
1975,401.50300000000004
1976,501.901
1977,541.594
1978,549.135
1979,553.746
1980,536.2919999999999
1981,481.538
1982,397.62300000000005
1983,281.29
1984,280.91900000000004
1985,267.962
1986,225.757
1987,153.996
1989,24.381
1990,13.297
1991,9.732000000000001
1992,8.257
1993,15.699000000000002
1994,38.59
1995,80.846
1996,136.918
1997,186.44099999999997
1998,124.705
1999,152.911
2000,309.655
2001,446.843
2002,548.795
2003,632.614
2004,730.413
2005,735.946
2006,622.428
2007,562.6659999999999
2009,444.505
2010,324.155
2011,283.629
2012,266.007
2013,271.985
2014,284.369
2015,276.716
2016,266.578
2017,255.729
2018,207.32
