,WindSpeed,IrrDirect,IrrDiffuse,Temperature,Percipitation,SnowFlow,SnowMass,AirDensity,RadSurface,RadTop,CloudCover,IsDayBin_Day,IsDayBin_Night,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
73,4.157,0.0,0.0,-11.902000000000001,0.017,0.017,15.062999999999999,1.307,0.0,0.0,0.851,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,4.0680000000000005,0.0,0.0,-11.85,0.02,0.02,15.083,1.306,0.0,0.0,0.8190000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
75,4.19,0.0,0.0,-11.888,0.019,0.019,15.103,1.305,0.0,0.0,0.7140000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,4.465,0.0,0.0,-11.945,0.018000000000000002,0.018000000000000002,15.122,1.3030000000000002,0.0,0.0,0.6629999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77,4.686,0.0,0.0,-11.950999999999999,0.017,0.017,15.140999999999998,1.3019999999999998,0.0,0.0,0.648,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,4.823,0.0,0.0,-11.94,0.016,0.016,15.159,1.301,0.0,0.0,0.659,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80,4.734,0.009000000000000001,0.003,-11.767000000000001,0.013000000000000001,0.013000000000000001,15.19,1.2990000000000002,4.971,20.666999999999998,0.647,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,4.718999999999999,0.040999999999999995,0.02,-11.299000000000001,0.013999999999999999,0.013999999999999999,15.205,1.2990000000000002,34.724000000000004,106.68700000000001,0.6779999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0
82,4.771,0.052000000000000005,0.033,-10.23,0.016,0.016,15.22,1.297,56.458999999999996,162.644,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
83,4.699,0.047,0.035,-9.235,0.019,0.019,15.232999999999999,1.295,59.665,175.334,0.72,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,4.685,0.034,0.027000000000000003,-8.982000000000001,0.021,0.021,15.247,1.294,44.886,143.866,0.7170000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
85,4.856,0.015,0.011000000000000001,-9.552999999999999,0.026000000000000002,0.026000000000000002,15.269,1.2919999999999998,17.986,70.408,0.679,1,0,1,0,0,0,0,0,0,0,0,0,0,0
86,4.94,0.0,0.0,-10.347999999999999,0.027999999999999997,0.027999999999999997,15.297,1.2919999999999998,0.313,2.083,0.68,1,0,1,0,0,0,0,0,0,0,0,0,0,0
88,5.37,0.0,0.0,-10.847000000000001,0.032,0.032,15.359000000000002,1.2919999999999998,0.0,0.0,0.703,0,1,1,0,0,0,0,0,0,0,0,0,0,0
90,5.3839999999999995,0.0,0.0,-11.008,0.027000000000000003,0.027000000000000003,15.425,1.2930000000000001,0.0,0.0,0.66,0,1,1,0,0,0,0,0,0,0,0,0,0,0
91,5.2170000000000005,0.0,0.0,-11.042,0.024,0.024,15.452,1.2930000000000001,0.0,0.0,0.6629999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
92,4.968999999999999,0.0,0.0,-10.960999999999999,0.025,0.025,15.477,1.294,0.0,0.0,0.625,0,1,1,0,0,0,0,0,0,0,0,0,0,0
94,4.912,0.0,0.0,-11.225999999999999,0.027999999999999997,0.027999999999999997,15.535,1.295,0.0,0.0,0.618,0,1,1,0,0,0,0,0,0,0,0,0,0,0
95,5.069,0.0,0.0,-11.525,0.028999999999999998,0.028999999999999998,15.564,1.296,0.0,0.0,0.617,0,1,1,0,0,0,0,0,0,0,0,0,0,0
96,5.247000000000001,0.0,0.0,-11.790999999999999,0.028999999999999998,0.028999999999999998,15.595,1.297,0.0,0.0,0.616,0,1,1,0,0,0,0,0,0,0,0,0,0,0
97,5.379,0.0,0.0,-11.966,0.031,0.031,15.627,1.298,0.0,0.0,0.611,0,1,1,0,0,0,0,0,0,0,0,0,0,0
98,5.428999999999999,0.0,0.0,-12.095999999999998,0.035,0.035,15.662,1.298,0.0,0.0,0.617,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99,5.396,0.0,0.0,-11.958,0.031,0.031,15.698,1.2990000000000002,0.0,0.0,0.615,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,5.322,0.0,0.0,-11.812000000000001,0.027000000000000003,0.027000000000000003,15.729000000000001,1.2990000000000002,0.0,0.0,0.606,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,5.287000000000001,0.0,0.0,-11.897,0.023,0.023,15.785,1.3,0.0,0.0,0.611,0,1,1,0,0,0,0,0,0,0,0,0,0,0
103,5.2860000000000005,0.0,0.0,-11.902999999999999,0.018000000000000002,0.018000000000000002,15.807,1.3,0.0,0.0,0.564,0,1,1,0,0,0,0,0,0,0,0,0,0,0
104,5.351,0.011000000000000001,0.003,-12.074000000000002,0.011000000000000001,0.011000000000000001,15.823,1.301,5.22,22.138,0.49200000000000005,1,0,1,0,0,0,0,0,0,0,0,0,0,0
105,5.376,0.06,0.021,-11.702,0.005,0.005,15.832,1.301,37.784,109.125,0.395,1,0,1,0,0,0,0,0,0,0,0,0,0,0
106,5.182,0.14400000000000002,0.038,-10.706,0.002,0.002,15.835,1.3,73.281,165.13400000000001,0.314,1,0,1,0,0,0,0,0,0,0,0,0,0,0
107,4.7330000000000005,0.19,0.040999999999999995,-9.884,0.001,0.001,15.83,1.2990000000000002,85.319,177.834,0.297,1,0,1,0,0,0,0,0,0,0,0,0,0,0
108,4.581,0.157,0.034,-9.877,0.001,0.001,15.825999999999999,1.298,67.503,146.355,0.301,1,0,1,0,0,0,0,0,0,0,0,0,0,0
109,4.836,0.07,0.015,-10.777999999999999,0.001,0.001,15.827,1.2990000000000002,28.176,72.84100000000001,0.299,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,5.162999999999999,0.001,0.0,-12.350999999999999,0.002,0.002,15.831,1.301,0.591,2.542,0.344,1,0,1,0,0,0,0,0,0,0,0,0,0,0
111,5.078,0.0,0.0,-13.07,0.002,0.002,15.835,1.3019999999999998,0.0,0.0,0.446,0,1,1,0,0,0,0,0,0,0,0,0,0,0
112,4.908,0.0,0.0,-13.165,0.003,0.003,15.84,1.304,0.0,0.0,0.505,0,1,1,0,0,0,0,0,0,0,0,0,0,0
113,4.737,0.0,0.0,-13.022,0.004,0.004,15.845,1.304,0.0,0.0,0.542,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114,4.644,0.0,0.0,-12.913,0.005,0.005,15.850999999999999,1.305,0.0,0.0,0.535,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115,4.624,0.0,0.0,-12.968,0.006,0.006,15.857999999999999,1.306,0.0,0.0,0.534,0,1,1,0,0,0,0,0,0,0,0,0,0,0
116,4.605,0.0,0.0,-13.026,0.006999999999999999,0.006999999999999999,15.866,1.306,0.0,0.0,0.542,0,1,1,0,0,0,0,0,0,0,0,0,0,0
117,4.664,0.0,0.0,-13.205,0.005,0.005,15.873,1.308,0.0,0.0,0.524,0,1,1,0,0,0,0,0,0,0,0,0,0,0
118,4.678,0.0,0.0,-13.489,0.003,0.003,15.879000000000001,1.3090000000000002,0.0,0.0,0.456,0,1,1,0,0,0,0,0,0,0,0,0,0,0
119,4.667,0.0,0.0,-13.91,0.003,0.003,15.883,1.311,0.0,0.0,0.43200000000000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0
120,4.727,0.0,0.0,-14.372,0.003,0.003,15.888,1.3130000000000002,0.0,0.0,0.47,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,4.887,0.0,0.0,-14.700999999999999,0.006999999999999999,0.006999999999999999,15.894,1.315,0.0,0.0,0.532,0,1,1,0,0,0,0,0,0,0,0,0,0,0
122,5.03,0.0,0.0,-14.847999999999999,0.009000000000000001,0.009000000000000001,15.904000000000002,1.317,0.0,0.0,0.624,0,1,1,0,0,0,0,0,0,0,0,0,0,0
123,4.936,0.0,0.0,-14.671,0.008,0.008,15.915,1.317,0.0,0.0,0.614,0,1,1,0,0,0,0,0,0,0,0,0,0,0
124,4.777,0.0,0.0,-14.546,0.006999999999999999,0.006999999999999999,15.923,1.318,0.0,0.0,0.636,0,1,1,0,0,0,0,0,0,0,0,0,0,0
125,4.643,0.0,0.0,-14.525,0.006,0.006,15.931,1.318,0.0,0.0,0.616,0,1,1,0,0,0,0,0,0,0,0,0,0,0
126,4.524,0.0,0.0,-14.558,0.006,0.006,15.937000000000001,1.319,0.0,0.0,0.598,0,1,1,0,0,0,0,0,0,0,0,0,0,0
127,4.43,0.0,0.0,-14.642000000000001,0.005,0.005,15.944,1.32,0.0,0.0,0.5920000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
128,4.3389999999999995,0.021,0.004,-14.696,0.006,0.006,15.95,1.32,6.9110000000000005,23.764,0.5820000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
130,4.332,0.12,0.038,-13.462,0.006999999999999999,0.006999999999999999,15.963,1.321,70.862,167.769,0.57,1,0,1,0,0,0,0,0,0,0,0,0,0,0
131,3.9739999999999998,0.135,0.040999999999999995,-12.585,0.006,0.006,15.96,1.321,79.359,180.52200000000002,0.564,1,0,1,0,0,0,0,0,0,0,0,0,0,0
132,3.861,0.102,0.033,-12.557,0.006,0.006,15.957,1.32,61.481,149.0,0.5760000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
133,4.07,0.046,0.015,-13.247,0.005,0.005,15.960999999999999,1.32,25.963,75.46,0.601,1,0,1,0,0,0,0,0,0,0,0,0,0,0
134,4.143,0.001,0.0,-14.158,0.006,0.006,15.966,1.321,0.6709999999999999,3.09,0.622,1,0,1,0,0,0,0,0,0,0,0,0,0,0
135,4.07,0.0,0.0,-14.453,0.005,0.005,15.972000000000001,1.3219999999999998,0.0,0.0,0.623,0,1,1,0,0,0,0,0,0,0,0,0,0,0
137,3.832,0.0,0.0,-14.562999999999999,0.004,0.004,15.982999999999999,1.3219999999999998,0.0,0.0,0.5770000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,3.4989999999999997,0.0,0.0,-14.572000000000001,0.005,0.005,15.992,1.3230000000000002,0.0,0.0,0.575,0,1,1,0,0,0,0,0,0,0,0,0,0,0
140,3.2569999999999997,0.0,0.0,-14.392999999999999,0.004,0.004,15.997,1.3219999999999998,0.0,0.0,0.593,0,1,1,0,0,0,0,0,0,0,0,0,0,0
143,3.091,0.0,0.0,-14.942,0.009000000000000001,0.009000000000000001,16.018,1.3259999999999998,0.0,0.0,0.623,0,1,1,0,0,0,0,0,0,0,0,0,0,0
144,3.364,0.0,0.0,-15.299000000000001,0.01,0.01,16.028,1.327,0.0,0.0,0.7240000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
145,3.641,0.0,0.0,-15.692,0.011000000000000001,0.011000000000000001,16.039,1.328,0.0,0.0,0.856,0,1,1,0,0,0,0,0,0,0,0,0,0,0
146,3.891,0.0,0.0,-16.085,0.012,0.012,16.051,1.329,0.0,0.0,0.929,0,1,1,0,0,0,0,0,0,0,0,0,0,0
147,4.084,0.0,0.0,-16.339000000000002,0.012,0.012,16.064,1.329,0.0,0.0,0.955,0,1,1,0,0,0,0,0,0,0,0,0,0,0
148,4.071000000000001,0.0,0.0,-16.346,0.011000000000000001,0.011000000000000001,16.076,1.329,0.0,0.0,0.9620000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
149,3.9389999999999996,0.0,0.0,-16.237000000000002,0.01,0.01,16.087,1.328,0.0,0.0,0.968,0,1,1,0,0,0,0,0,0,0,0,0,0,0
150,3.865,0.0,0.0,-16.188,0.009000000000000001,0.009000000000000001,16.097,1.328,0.0,0.0,0.973,0,1,1,0,0,0,0,0,0,0,0,0,0,0
151,3.865,0.0,0.0,-16.203,0.009000000000000001,0.009000000000000001,16.105999999999998,1.328,0.0,0.0,0.98,0,1,1,0,0,0,0,0,0,0,0,0,0,0
152,3.885,0.016,0.004,-16.203,0.006999999999999999,0.006999999999999999,16.115,1.328,6.832999999999999,25.561,0.981,1,0,1,0,0,0,0,0,0,0,0,0,0,0
153,3.986,0.054000000000000006,0.022000000000000002,-15.905,0.006999999999999999,0.006999999999999999,16.122,1.327,39.165,114.501,0.973,1,0,1,0,0,0,0,0,0,0,0,0,0,0
154,4.138999999999999,0.08199999999999999,0.037000000000000005,-15.068,0.005,0.005,16.128,1.3259999999999998,65.968,170.63400000000001,0.9570000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
155,4.095,0.085,0.04,-14.017000000000001,0.005,0.005,16.125999999999998,1.324,71.964,183.34400000000002,0.937,1,0,1,0,0,0,0,0,0,0,0,0,0,0
156,4.087,0.069,0.032,-13.745999999999999,0.006,0.006,16.121,1.321,57.27,151.855,0.873,1,0,1,0,0,0,0,0,0,0,0,0,0,0
157,4.482,0.032,0.013999999999999999,-14.095,0.006,0.006,16.123,1.32,24.581,78.242,0.763,1,0,1,0,0,0,0,0,0,0,0,0,0,0
158,4.926,0.001,0.0,-15.129000000000001,0.008,0.008,16.13,1.319,0.708,3.734,0.6809999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0
159,5.16,0.0,0.0,-15.577,0.013999999999999999,0.013999999999999999,16.142,1.319,0.0,0.0,0.6809999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
160,5.239,0.0,0.0,-15.638,0.021,0.021,16.162,1.318,0.0,0.0,0.664,0,1,1,0,0,0,0,0,0,0,0,0,0,0
161,5.237,0.0,0.0,-15.626,0.033,0.033,16.191,1.318,0.0,0.0,0.652,0,1,1,0,0,0,0,0,0,0,0,0,0,0
162,5.212999999999999,0.0,0.0,-15.378,0.037000000000000005,0.037000000000000005,16.227999999999998,1.317,0.0,0.0,0.6559999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
163,5.129,0.0,0.0,-15.185,0.052000000000000005,0.052000000000000005,16.273,1.3159999999999998,0.0,0.0,0.6709999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
164,4.957,0.0,0.0,-15.015999999999998,0.07200000000000001,0.07200000000000001,16.338,1.315,0.0,0.0,0.672,0,1,1,0,0,0,0,0,0,0,0,0,0,0
165,4.937,0.0,0.0,-15.032,0.068,0.068,16.41,1.314,0.0,0.0,0.664,0,1,1,0,0,0,0,0,0,0,0,0,0,0
166,4.978,0.0,0.0,-15.158,0.061,0.061,16.475,1.315,0.0,0.0,0.667,0,1,1,0,0,0,0,0,0,0,0,0,0,0
167,5.038,0.0,0.0,-15.259,0.055,0.055,16.533,1.314,0.0,0.0,0.6729999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
168,5.136,0.0,0.0,-15.195,0.055999999999999994,0.055999999999999994,16.59,1.314,0.0,0.0,0.685,0,1,1,0,0,0,0,0,0,0,0,0,0,0
169,5.034,0.0,0.0,-14.841,0.048,0.048,16.642,1.314,0.0,0.0,0.722,0,1,1,0,0,0,0,0,0,0,0,0,0,0
